stock,date,time,heading,compound score
TSLA,3/12/21,04:14PM  ,NTSB Slams Tesla Autopilot in Push for Stricter Autonomous Driving Standards,0
TSLA,3/12/21,04:09PM  ,Short Seller Adds Another EV Stock To Its Hit List,0
TSLA,3/12/21,04:00PM  ,"Americas Top 1,200 Financial Advisors",0.2023
TSLA,3/12/21,02:02PM  ,Tesla: Breaking Down Mizuhos New Bullish Call,0
TSLA,3/12/21,01:55PM  ,"UPDATE 1-Tesla investor sues Musk, claims tweets violate SEC settlement",-0.4939
TSLA,3/12/21,01:45PM  ,Nasdaq Slips As Biden Stimulus Raises These Fears; Dow Rallies; Warren Buffett Stock Crumbles,-0.4215
TSLA,3/12/21,01:06PM  ,"Tesla investor sues Musk, claims tweets violate SEC settlement",-0.4939
TSLA,3/12/21,11:17AM  ,"Swiss Police Raid Apartment of Verkada Hacker, Seize Devices",0
TSLA,3/12/21,11:13AM  ,Electric-Vehicle Stocks Dash Rebound Hopes as Bad News Piles Up,-0.1779
TSLA,3/12/21,11:06AM  ,Stocks mixed after record-setting rally,0
TSLA,3/12/21,10:17AM  ,Tesla Shares Drop After Fire at EV Makers California Plant,-0.3182
TSLA,3/12/21,10:14AM  ,Lordstown Motors shorted by Hindenburg research,0
TSLA,3/12/21,10:09AM  ,Tesla In Talks With Tata Power For India Charging Infrastructure,0
TSLA,3/12/21,09:37AM  ,It's Not Too Late to Buy the Bounce: These 3 Unstoppable Stocks Are Still 20% Off Their Highs,-0.2023
TSLA,3/12/21,07:45AM  ,"Is Tesla Stock A Buy After A Giant Run And Transformative, Robust Year?",0.34
TSLA,3/12/21,07:05AM  ,Why Is Everyone Talking About Electric Vehicle Stocks?,0
TSLA,3/12/21,07:00AM  ,"Top-Notch Mutual Fund Loves Facebook, Other FAANG Stocks, Taiwan Semiconductor",0.5719
TSLA,3/12/21,06:27AM  ,"XPeng stock falls even as losses narrow and revenue rises, amid broader weakness in EV stocks",-0.6705
TSLA,3/12/21,06:04AM  ,2 Stocks Cathie Wood Loves That Should Be Bigger Winners Than Tesla,0.7783
TSLA,3/12/21,05:48AM  ,UPDATE 2-Tesla in talks with India's Tata Power for EV charging infrastructure -report,0
TSLA,3/12/21,05:31AM  ,Tesla in talks with India's Tata Power for EV charging infrastructure -report,0
TSLA,3/12/21,05:20AM  ,Tesla in talks with Tata Power for EV charging infrastructure -report,0
TSLA,3/12/21,02:53AM  ,"Tesla Fremont Factory Suffers Fire Damage, No Injuries Reported",-0.872
TSLA,3/12/21,12:23AM  ,Tesla Delays Model S Plaid Plus Deliveries To Middle Of Next Year,0
TSLA,3/11/21,10:58PM  ,Teslas Giga Press catches fire at California factory,-0.34
TSLA,3/11/21,09:54PM  ,"Tesla Changes Vehicle Prices by as Much as $10,000 in Web Update",0
TSLA,3/11/21,09:01PM  ,"Fire at Tesla's Fremont factory under control, no injuries reported",-0.5574
TSLA,3/11/21,08:41PM  ,"Fire at Tesla's Fremont factory under control, no injuries reported",-0.5574
TSLA,3/11/21,08:00PM  ,Can Fuel Cell Cars Compete With The EV Boom?,0
TSLA,3/11/21,04:35PM  ,Stock Market Today: S&P 500 Sets New High as Biden Blesses Stimulus,0.5574
TSLA,3/11/21,04:03PM  ,"EV Startup That Drew Apple Interest Takes On Tesla, GM In Hot Pickup Market",0.4588
TSLA,3/11/21,03:53PM  ,Video Shows Tesla Model 3 Accelerating Away From Attempted Carjacking,0
TSLA,3/11/21,03:07PM  ,"Tesla, Nio stocks surge after Mizuho analyst said buy the EV leaders",0
