,stock,date,time,heading,compound score
65,SRE,2020-11-05,06:31PM  ,Sempra Energy (SRE) Q3 2020 Earnings Call Transcript,0.2732
66,SRE,2020-11-05,10:03AM  ,"Sempra Energy (SRE) Q3 Earnings Miss, Revenues Decline Y/Y",0.128
67,SRE,2020-11-05,09:15AM  ,Sempra to make decision on Mexico Costa Azul LNG export plant this year,0.0
68,SRE,2020-11-05,08:15AM  ,Sempra (SRE) Q3 Earnings Miss Estimates,-0.1531
69,SRE,2020-11-05,06:55AM  ,Sempra Energy Reports Third-Quarter 2020 Earnings Results,0.2732
70,SRE,2020-11-03,12:05PM  ,"ONE Gas (OGS) Earnings Beat Estimates in Q3, Increase Y/Y",0.3182
71,SRE,2020-11-02,10:36AM  ,What's in the Cards for Sempra Energy's (SRE) Q3 Earnings?,0.0
72,SRE,2020-10-29,01:09PM  ,SoCalGas Now Dispensing California-Produced Renewable Natural Gas at its Vehicle Fueling Stations for the First Time,0.3612
73,SRE,2020-10-29,12:40PM  ,"Cameron LNG, LLC -- Moody's announces completion of a periodic review of ratings of Cameron LNG, LLC",0.0
74,SRE,2020-10-29,12:35PM  ,Analysts Estimate Sempra (SRE) to Report a Decline in Earnings: What to Look Out for,0.0
75,SRE,2020-10-28,09:23AM  ,Contested Election Heightens Market Volatility: 5 Safe Picks,0.4404
76,SRE,2020-10-27,12:24PM  ,Do Institutions Own Sempra Energy (NYSE:SRE) Shares?,0.5106
77,SRE,2020-10-23,01:57PM  ,IEnova expects Mexican export permit for Costa Azul LNG this year,0.0
78,SRE,2020-10-23,11:45AM  ,This is Why Sempra (SRE) is a Great Dividend Stock,0.6249
79,SRE,2020-10-22,04:00PM  ,SoCalGas and The Laundry Truck LA Unveil New Equipment to Provide Free Laundry Services to Unhoused Angelenos,0.5106
80,SRE,2020-10-19,02:05PM  ,The YMCA Of Metropolitan Los Angeles And SoCalGas Join Forces To Bring Wifi Connectivity To In-Need Communities,0.296
81,SRE,2020-10-17,05:32AM  ,Infraestructura Energetica Nova S.A.B de C.V. -- Moody's Assigns a Baa2 Rating to Infraestructura Energetica Nova S.A.B. de C.V. Senior Unsecured Notes,-0.3818
82,SRE,2020-10-16,12:43PM  ,Oncor Electric Delivery Company LLC -- Moody's announces completion of a periodic review of ratings of Sempra Energy,0.2732
83,SRE,2020-10-15,05:51PM  ,Oncor To Release Third Quarter 2020 Results Nov. 5,0.0
84,SRE,2020-10-15,04:15PM  ,Sempra Energy To Report Third-Quarter 2020 Earnings Nov. 5,0.2732
85,SRE,2020-10-15,10:30AM  ,SoCalGas Offers Disaster Preparedness Tips in Recognition of 13th Annual Great California Shakeout,-0.3182
86,SRE,2020-10-15,06:55AM  ,Sempra Energy Named To Forbes' JUST 100 List,0.2732
87,SRE,2020-10-14,12:30PM  ,Sempra (SRE) Expected to Beat Earnings Estimates: What to Know Ahead of Q3 Release,0.0
88,SRE,2020-10-12,06:55AM  ,Sempra Energy Supports Southwest Louisiana With Hurricane Delta Relief Funds,0.7717
89,SRE,2020-10-08,05:15PM  ,Chemical Coast Braces for Third Pummeling This Storm Season,0.0
90,SRE,2020-10-08,12:26PM  ,"SoCalGas & Longo Toyota Donate 1,008 Meals to Mark National Hydrogen Day and Bring Attention to Carbon-Free Fuel",0.0
91,SRE,2020-10-08,07:00AM  ,SDG&E Releases Sustainability Strategy to Advance Carbon Neutrality,0.0
92,SRE,2020-10-07,05:00PM  ,Theres an opportunistic flavor to investing in utilities right now: fund manager,-0.0258
93,SRE,2020-10-07,11:45AM  ,Why Sempra (SRE) is a Great Dividend Stock Right Now,0.6249
94,SRE,2020-10-07,11:15AM  ,SoCalGas' Energy Efficiency Programs a Win-win for Customers and California's Emissions Reduction Goals,0.5574
95,SRE,2020-10-05,06:55AM  ,Sempra Energy Named A 2020 Leading Disability Employer,0.2732
96,SRE,2020-10-01,06:47PM  ,"SoCalGas Provides Over 26,000 Meals to Those in Need By Way of $25,000 Sponsorship of The Midnight Mission's Banquet of Hope",0.4404
97,SRE,2020-10-01,05:22PM  ,Sempra Energy's IEnova Unit To Report Third-Quarter 2020 Earnings Oct. 21,0.0
98,SRE,2020-10-01,01:11PM  ,If You Like EPS Growth Then Check Out Sempra Energy (NYSE:SRE) Before It's Too Late,0.7351
99,SRE,2020-09-21,11:45AM  ,Are You Looking for a High-Growth Dividend Stock? Sempra (SRE) Could Be a Great Choice,0.6249
